STEP,X,Y,Z
25,3.2524,3.7791,5.1808
26,3.8700,3.3808,4.1417
27,6.6646,2.9616,3.5421
28,6.8802,5.8144,4.7420
29,5.6404,2.7465,4.8701
30,5.9302,4.4167,2.3274
31,7.4703,4.8145,5.0278
32,3.9976,4.4852,4.8279
33,5.0577,3.5204,4.1438
34,5.4805,4.9892,4.1145
35,5.2386,3.5586,2.3670
36,6.2261,3.5860,4.4325
37,3.3823,5.4716,4.6753
38,4.4237,4.3317,3.9128
39,5.1823,4.2189,4.9605
0,7.2271,3.6904,4.8467
1,6.0627,3.0478,2.6805
2,3.1314,4.4777,3.9708
3,5.6973,3.8417,3.3689
4,5.6938,5.6475,2.7577
5,6.5642,3.7093,5.7409
6,4.5440,3.2978,3.1239
7,7.6317,3.6819,3.8065
8,3.6506,3.9614,3.1108
9,7.3428,4.9562,2.7272
10,7.6240,5.2231,3.8289
11,4.4903,3.3606,5.0832
12,5.7665,5.7640,4.7271
13,6.9644,4.4327,4.1201
14,5.3086,2.9340,5.9590
15,5.3767,2.5185,3.7898
16,5.2493,4.7815,3.1685
17,6.7311,4.2303,3.1172
18,4.9151,5.8480,3.7562
19,4.6617,5.5809,4.8642
20,6.1890,4.6863,4.8803
21,4.3525,4.7468,2.6685
22,8.3634,4.1897,4.5283
23,3.9562,5.3224,3.7231
24,6.3727,5.2137,3.5654
25,3.2524,3.7791,5.1808
26,3.8700,3.3807,4.1417
27,6.6646,2.9615,3.5421
28,6.8816,5.6846,4.4259
29,5.6404,2.7465,4.8701
30,5.9302,4.4167,2.3274
31,7.4702,4.8145,5.0278
32,3.9976,4.4851,4.8279
33,5.0577,3.5204,4.1438
34,5.3579,5.0149,4.1611
35,5.2234,3.6929,2.4269
36,6.2261,3.5860,4.4325
37,3.3823,5.4716,4.6753
38,4.4237,4.3317,3.9128
39,5.1823,4.2189,4.9605
0,7.2271,3.6904,4.8467
1,6.0627,3.0478,2.6805
2,3.2509,4.4304,4.0900
3,5.6973,3.8417,3.3689
4,5.6938,5.6475,2.7577
5,6.5642,3.7093,5.7409
6,4.5440,3.2978,3.1238
7,7.6317,3.6819,3.8065
8,3.6506,3.9614,3.1108
9,7.3427,4.9562,2.7272
10,7.6240,5.2231,3.8288
11,4.4903,3.3606,5.0832
12,5.7664,5.7640,4.7271
13,6.9644,4.4327,4.1201
14,5.3085,2.9340,5.9590
15,5.3767,2.5185,3.7897
16,5.2493,4.7814,3.1685
17,6.7311,4.2303,3.1172
18,4.9150,5.8480,3.7562
19,4.6617,5.5809,4.8642
20,6.1889,4.6863,4.8803
21,4.3793,4.5581,2.5414
22,8.3634,4.1896,4.5282
23,3.9939,5.2925,3.6690
24,6.3727,5.2137,3.5654
25,3.2524,3.7791,5.1807
26,3.8867,3.3935,4.1216
27,6.6645,2.9615,3.5421
28,6.8815,5.6845,4.4259
29,5.6403,2.7465,4.8701
30,5.9301,4.4167,2.3274
31,7.4702,4.8145,5.0278
32,4.1030,4.5723,4.8934
33,5.0576,3.5203,4.1438
34,5.3579,5.0149,4.1610
35,5.2234,3.6929,2.4269
36,6.2261,3.5860,4.4324
37,3.3823,5.4716,4.6752
38,4.4237,4.3317,3.9128
