STEP,X,Y
9000,2.8750,8.5705
9000,3.1371,7.1428
9000,2.3863,8.9527
9000,7.9048,7.8572
9000,8.9952,0.2817
9000,1.7931,1.0273
9000,5.4549,4.8997
9000,5.2959,8.2730
9000,8.7727,7.0047
9000,6.2052,2.3020
9000,7.3924,7.3260
9000,0.3889,1.5003
9000,3.8128,0.6461
9000,3.4404,9.1971
9000,7.6161,8.3675
9000,2.7301,9.3567
9000,7.3113,6.4099
9000,3.2215,8.1523
9000,3.1070,4.3028
9000,7.4237,1.5322
9000,6.2267,6.3727
9000,8.7224,7.4699
9000,0.4591,4.2139
9000,1.1519,1.8495
9000,9.3521,4.6921
9000,2.7372,3.3001
9000,5.2755,6.2052
9000,9.3606,9.8349
9000,2.7077,5.7602
9000,0.8194,2.4757
9000,2.5516,2.7751
9000,8.3488,7.8158
9000,5.7434,5.4223
9000,8.9274,2.3458
9000,9.0936,5.4836
9000,7.4109,4.1374
10000,5.3136,9.2745
10000,7.4527,0.9712
10000,3.4993,3.7292
10000,0.1655,4.1721
10000,0.7607,0.9142
10000,6.0240,9.2289
10000,4.2188,9.9537
10000,1.4803,0.0581
10000,5.2578,9.8614
10000,0.3364,7.0323
10000,8.8663,9.5303
10000,8.2292,0.5252
10000,0.5525,8.7670
10000,9.8671,2.4504
10000,6.5424,9.7659
10000,7.5965,3.3923
10000,5.9822,3.1789
10000,1.4521,3.4223
10000,2.7597,5.6140
10000,6.2346,2.6611
10000,7.0299,5.9506
10000,6.2582,8.2329
10000,2.3798,5.4492
10000,5.4313,4.3090
10000,6.2285,3.9402
10000,3.4958,1.2515
10000,0.2325,9.7263
10000,1.3574,7.0044
10000,3.9726,0.4604
10000,1.6753,6.3221
10000,4.1236,7.2329
10000,6.8719,8.6345
10000,3.9352,4.9286
10000,9.3724,5.4779
10000,3.1175,6.0826
10000,3.8202,5.9494
10000,5.5473,5.8112
10000,2.0015,2.8264
10000,1.3614,4.2457
10000,4.3989,6.6239
11000,6.7214,4.0246
11000,7.5527,9.7062
11000,2.3330,6.6240
11000,0.7878,9.4176
11000,3.4044,4.0521
11000,8.1332,1.0029
11000,3.1119,9.5192
11000,1.4584,9.1537
11000,1.6711,4.0692
11000,4.1605,9.1315
11000,5.4073,4.9775
11000,4.1178,1.8657
11000,0.1028,8.0129
11000,8.0892,4.6595
11000,4.9190,1.1915
11000,5.4790,1.9443
11000,0.3925,6.3397
11000,4.0280,8.1498
11000,1.2703,2.0328
11000,5.5034,3.0650
11000,0.7347,7.1063
11000,6.8989,9.2415
11000,9.2164,8.7455
11000,7.6147,8.8083
11000,0.7830,2.6032
11000,6.8827,2.2599
11000,4.3241,3.3397
11000,8.1212,7.9541
11000,4.4747,9.6859
11000,2.5199,7.0725
11000,5.0437,1.6243
11000,2.5561,4.0142
11000,6.0261,3.3700
11000,3.0748,8.6747
11000,3.8166,8.7324
11000,8.5553,1.7077
11000,4.6627,3.2556
11000,0.8125,5.7767
11000,2.0077,4.3337
11000,6.2755,6.5168
12000,2.8247,0.8048
12000,3.2187,9.5203
12000,9.1602,1.9340
12000,5.6289,6.7526
12000,4.9693,4.0990
12000,7.9278,6.6845
12000,7.5398,3.7516
12000,7.8906,2.9688
12000,9.2349,4.8762
12000,7.6024,5.0871
12000,1.1852,1.7628
12000,3.2838,2.9865
12000,4.6449,8.2740
12000,5.6164,0.7963
12000,8.2913,1.7090
12000,0.1130,1.2381
12000,3.8800,4.7323
12000,2.6474,8.2994
12000,4.3267,4.4754
12000,0.2436,3.7096
12000,0.5499,6.1349
12000,3.3160,3.7651
12000,3.4649,5.1310
12000,5.8744,6.2959
12000,6.1084,3.3232
12000,2.5673,1.9842
12000,9.2312,3.5493
12000,4.6831,0.2634
12000,4.4438,5.4622
12000,6.6754,8.1332
12000,6.5230,3.5687
12000,6.4367,0.3741
12000,1.4234,8.2637
12000,3.1580,5.7410
12000,4.5880,7.7167
12000,3.4319,1.0772
12000,0.8017,2.4991
12000,2.4829,2.5781
12000,9.6565,1.3522
12000,7.2769,1.0731
13000,5.3716,7.2668
13000,5.2716,4.5797
13000,2.1818,9.6478
13000,5.3013,6.2334
13000,6.1821,8.1308
13000,6.3403,9.9561
13000,5.9073,8.9722
13000,1.8659,4.8728
13000,9.1353,2.0336
13000,8.0804,3.5943
13000,6.0149,5.8754
13000,6.4456,4.3458
13000,7.2778,9.9395
13000,5.1071,2.2678
13000,5.4875,1.4849
13000,7.0796,2.2136
13000,7.5815,1.0868
13000,8.7122,7.1306
13000,9.3791,7.8497
13000,4.7846,7.1306
13000,4.8439,3.6059
13000,1.0110,6.1727
13000,5.8037,3.2355
13000,0.3761,2.6908
13000,1.7140,1.5494
13000,9.0390,0.7339
13000,7.0910,1.7448
13000,8.8213,9.8119
13000,3.3568,6.3608
13000,6.3658,1.7523
13000,9.0211,9.1694
13000,2.2350,1.2790
13000,3.6008,8.3881
13000,2.7041,9.0755
13000,3.1154,7.6102
13000,3.5605,0.8684
13000,8.5585,6.2292
13000,7.0278,8.3018
13000,6.6375,7.0168
13000,9.1732,6.1539
14000,1.4786,1.6478
14000,2.0799,0.8660
14000,0.4285,3.9559
14000,2.1419,7.7567
14000,8.0344,0.8311
14000,2.0166,5.7867
14000,8.5113,2.1157
14000,8.4658,7.4777
14000,4.0950,7.3573
14000,4.6496,4.8321
14000,6.6928,5.6597
14000,0.1109,3.4959
14000,6.5616,9.3936
14000,4.5856,1.5697
14000,7.8300,7.7044
14000,5.1620,3.2856
14000,8.4282,8.4569
14000,2.9428,3.1148
14000,2.4200,8.5765
14000,7.0709,6.5880
14000,9.6830,6.7477
14000,3.6040,4.7586
14000,2.2992,1.6172
14000,7.6575,3.3403
14000,2.8945,0.7953
14000,5.6148,6.5054
14000,1.6402,4.1342
14000,0.4439,5.3533
14000,7.6598,8.8991
14000,0.2687,7.5264
14000,9.9310,9.1426
14000,3.0295,7.0165
14000,2.7178,9.3895
14000,9.2800,3.4770
14000,4.3402,4.1870
14000,6.7245,7.7648
14000,0.0496,5.7043
14000,9.0485,0.7569
14000,9.7250,5.6849
14000,5.6996,1.1767
15000,9.5369,6.5789
15000,2.6808,1.9868
15000,1.6667,5.8901
15000,3.7815,0.6733
15000,3.5027,7.1671
15000,0.4104,7.2734
15000,3.0347,2.9386
15000,4.4493,9.5423
15000,5.0301,1.7630
15000,6.3742,2.8889
15000,2.6438,9.6236
15000,8.4295,1.1929
15000,9.2934,5.6357
15000,8.1982,0.4225
15000,3.4015,5.2046
15000,0.1612,3.0364
15000,9.9758,0.5439
15000,7.2467,3.4759
15000,4.7022,6.5778
15000,1.2525,0.5343
15000,7.4984,4.4849
15000,8.0589,9.7488
15000,8.3037,2.0951
15000,0.2867,4.6718
15000,3.0350,0.5857
15000,0.0499,5.7985
15000,3.1197,4.2153
15000,7.0169,7.0595
15000,5.8195,0.1541
15000,4.4539,5.4041
15000,9.3608,9.6218
15000,7.6240,3.9005
15000,0.0187,3.4874
15000,2.9022,1.2654
15000,1.4322,9.2847
15000,8.3113,3.4792
15000,4.6870,7.4706
15000,8.4178,4.1508
15000,4.9590,0.0340
15000,6.1107,4.2263
16000,7.6223,7.9780
16000,8.1131,6.5505
16000,1.6092,3.4097
16000,0.7731,5.6975
16000,5.1649,7.4633
16000,5.1140,9.6816
16000,9.3288,6.8104
16000,0.2791,1.5149
16000,4.1017,4.8926
16000,7.4379,9.1811
16000,1.9235,1.0763
16000,5.1356,0.6586
16000,9.0246,2.4003
16000,2.7725,6.3089
16000,3.6449,3.8493
16000,1.5324,2.0794
16000,6.6447,9.9379
16000,4.8306,8.5063
16000,8.1331,3.9132
16000,8.8550,7.8887
16000,1.8420,4.6788
16000,8.0106,6.0094
16000,7.1875,7.2475
16000,9.6024,0.5243
16000,4.1915,7.5801
16000,2.5828,9.8099
16000,0.5419,0.9068
16000,2.6818,2.9612
16000,3.9676,2.4346
16000,1.4493,9.2432
16000,9.5133,8.7716
16000,2.9273,9.2849
16000,9.2509,5.9952
16000,2.3810,0.6097
16000,4.5692,7.5989
16000,1.3661,8.5668
16000,1.5685,5.0945
16000,3.3512,8.7404
16000,4.8720,6.7017
16000,0.9130,7.0881
17000,5.5283,0.7325
17000,5.0948,7.4273
17000,9.3957,9.2061
17000,3.3654,3.0139
17000,5.5840,8.8282
17000,0.6045,7.6283
17000,7.5481,5.4594
17000,6.1838,3.1007
17000,0.4375,1.7561
